ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed
SE-00006087,PR-00002530,St Luke's Primary School OSHC - Extend,Extend (Australia) Pty Ltd,Centre-Based Care,1A David Street,LALOR,VIC,3075,1300366437,,enquiries@extend.com.au,,24,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-12,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,,,,,,,,,,,,,,,,,,,No
SE-00006088,PR-40004402,St Johns XXIII OSHClub Thomastown East,OSHCLUB PTY LTD,Centre-Based Care,Regal Avenue,THOMASTOWN,VIC,3074,409761390,,jagvicsa@junioradventuresgroup.com.au,,35,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-13,31/01/2019,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,,,,,,,,,,,,,,,No
SE-00006089,PR-40001112,Milestones Early Learning Cranbourne,Affinity Education Group Limited,Centre-Based Care,270 Narre Warren - Cranbourne Road,CRANBOURNE,VIC,3977,359969066,359960911,compliance@affinityeducation.com.au,,120,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-13,11/12/2013,Yes,No,No,Yes,Yes,Yes,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006090,PR-00001879,Heidelberg Preschool,TRY AUSTRALIA CHILDREN'S SERVICES,Centre-Based Care,Orient Place,HEIDELBERG,VIC,3084,394572492,,heidelberg@try.org.au,,50,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-19,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Sep-14,1/10/2018,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,,9:15,16:30,9:15,15:15,9:15,15:15,9:15,14:15,9:15,12:15,,,,,,,,,,,,,,,,,,,No
SE-00006091,PR-00000898,St Albans Main Road East Early Learning Centre,G8 Education Limited,Centre-Based Care,252 - 256 Main Road East,ST ALBANS,VIC,3021,03 9310 9633,,mainroadeast@earlylearningservices.com.au,"•	Where the service is unable to comply with Regulation 136, the approved provider must ensure that all staff present at the education and care service follow the procedures identified in the application for temporary waiver. 
•	The approved provider must ensure that practical training is undertaken as soon as practicable for the relevant qualifications for all staff. 
•	The approved provider must ensure they notify the Regulatory Authority within 14 days if the waiver is no longer required. 
",120,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-18,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jan-14,,Yes,No,No,No,No,No,No,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006092,PR-00000898,St Albans Sweet Sounds Early Learning Centre,G8 Education Limited,Centre-Based Care,27-29 Elizabeth Street,ST ALBANS,VIC,3021,03 9310 8955,,sweetsounds@earlylearningservices.com.au,,94,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-15,,,,,,,,,,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006093,PR-40001747,Prom Coast Centre for Children,Prom Coast Centres for Children Inc.,Centre-Based Care,30 Pioneer Street,FOSTER,VIC,3960,356839800,,director@pccc.net.au,,67,1/01/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Sep-12,5/05/2014,Yes,No,No,Yes,No,No,No,6:30,19:00,6:30,19:00,6:30,19:00,6:30,19:00,6:30,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,No
SE-00006094,PR-40001112,Papilio Early Learning Camberwell,Affinity Education Group Limited,Centre-Based Care,164-168 Warrigal Road,CAMBERWELL,VIC,3124,398888182,,compliance@affinityeducation.com.au,,98,1/01/2012,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Dec-19,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Mar-17,23/02/2015,Yes,No,No,Yes,Yes,Yes,No,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006095,PR-40004402,Coburn Primary School OSHClub,OSHCLUB PTY LTD,Centre-Based Care,Richard Road,MELTON SOUTH,VIC,3338,412667534,,jagvicsa@junioradventuresgroup.com.au,,60,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-19,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-15,1/07/2015,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,6:45,9:00,6:45,9:00,6:45,9:00,6:45,9:00,6:45,9:00,,,,,15:15,18:30,15:15,18:30,15:15,18:30,15:15,18:30,15:15,18:30,,,,,,,,,,,,,,,,,,,No
SE-00006096,PR-00002530,Wandin North PS OSHC - Extend,Extend (Australia) Pty Ltd,Centre-Based Care,220 Warburton Highway,WANDIN NORTH,VIC,3139,455915917,1300849438,enquiries@extend.com.au,"As this service is listed on the Department of Education & Training Bushfire At-Risk Register, the approved provider must ensure that:
a.         the service does not operate on any day the Victorian Emergency Management Commissioner declares day of a ‘Code Red’ Fire Danger Rating that applies to the location in which that service is located; and
b.         the service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan (EMP) for managing the service’s bush-fire related risks.
c.         the Emergency Management Plan (EMP) is kept up to date, reflects the service’s operating context and includes:
                       i.             a list of the service’s emergency contact details;
                      ii.             procedures for monitoring and managing bushfire risks and events;
                     iii.             procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service;
                     iv.             procedures for notifying families of children enrolled at the service of any closure;
                      v.             procedures for reviewing and updating the Emergency Management Plan (EMP).
d.         the Emergency Management Plan (EMP) is reviewed and updated as necessary at least once each calendar year.
e.         by 1 September of each year, a copy of the service’s Emergency Management Plan (EMP)
                       i.             to the Regulatory Authority through the National Quality Agenda Information Technology System (NQA ITS) public portal; and
                      ii.             where a service operates from a school premises, to the principal of the school.",35,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-14,29/01/2015,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,,,,,,,,,,,,,,,No
SE-00006097,PR-00002539,Camp Australia - Monmia Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,Copernicus Way,KEILOR DOWNS,VIC,3038,413180401,,opsadmin@campaustralia.com.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-20,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Nov-16,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,,,,,,,,,,,,,,,No
SE-00006098,PR-40004402,Exford OSHClub,OSHCLUB PTY LTD,Centre-Based Care,Exford Road,EXFORD,VIC,3338,419207638,,jagvicsa@junioradventuresgroup.com.au,,75,1/01/2012,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-15,,,,,,,,,,1/07/2015,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:50,6:30,8:50,6:30,8:50,6:30,8:50,6:30,8:50,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,6:45,18:00,6:45,18:00,6:45,18:00,6:45,18:00,6:45,18:00,,,,,No
SE-00006099,PR-00001946,Victorian YMCA Community Programming Pty Ltd at Phillip Island Leisure Centre Childcare and Vacation Care,Victorian YMCA Community Programming Pty Ltd,Centre-Based Care,10-14 Church Street,COWES,VIC,3922,359522811,359522078,phillipisland@ymca.org.au,"This service approval, to the extent that it relates to an associated children’s service authorises the approved provider to operate a limited hours type 1 service within the meaning of regulation 5 of the Children’s Services Regulations 2009, and is subject to the following conditions:
1. The service approval is granted subject to the condition that the approved associated children’s service is operated in a way that—
(a) ensures the safety of the children being cared for or educated; and
(b) ensures that the developmental needs of those children are met; and
(c) supports the health and wellbeing of those children.
2. The service approval is granted subject to the condition that a person must not manage or control the operation of the approved associated children’s service in the absence of the approved provider unless the person is:
(a) the nominated supervisor for the education and care service (for the associated education and care service); or
(b) the holder of a supervisor certificate and is employed or engaged by the approved associated children’s service or the associated education and care service; or
(c) a person approved by the Secretary under section 25X of the Children’s Services Act 1996 (Vic).
3. The approved associated children’s service may care for or educate a maximum of 28 children. 
4. The number of school children cared for or educated by the approved associated children’s service must not exceed 30 per cent of the total number of places for the limited hours type 1. The number is 8.
5. Each child cannot be cared for or educated for more than 2 hours a day and not more than a total of 6 hours per week. 
6. The approved associated children’s service will operate from Rooms 2 and 4.
7. Except as otherwise provided, the requirements of the Act and the Regulations, must be met in relation to the limited hours type 1 service.
8. These conditions apply solely to the approved associated children’s service.",73,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-13,,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,,,,,No
SE-00006100,PR-00002539,Camp Australia - Mount Eliza Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,1 Wooralla Drive,MOUNT ELIZA,VIC,3930,411104889,,opsadmin@campaustralia.com.au,,99,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-15,,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,7:30,9:00,7:30,9:00,7:30,9:00,7:30,9:00,7:30,9:00,,,,,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,7:30,18:00,,,,,No
SE-00006101,PR-00002539,Camp Australia - Our Lady of Fatima OSHC,Camp Australia Pty Limited,Centre-Based Care,8 Hinton St,ROSEBUD,VIC,3939,412093538,,opsadmin@campaustralia.com.au,,35,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-12,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,,,,,,,,,,,,,,,No
SE-00006102,PR-00001412,Willora Kindergarten,Casey City Council,Centre-Based Care,75-77 Willora Crescent,CRANBOURNE,VIC,3977,359951580,,willora@casey.vic.gov.au,,32,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-19,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006103,PR-00001412,Clarendon Street Kindergarten,Casey City Council,Centre-Based Care,43A Clarendon Street,CRANBOURNE,VIC,3977,359963117,,clarendonstreet@casey.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Dec-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006104,PR-00001412,Bowen Street Kindergarten,Casey City Council,Centre-Based Care,20-22 Bowen Street,CRANBOURNE,VIC,3977,359962851,,bowenstreet@casey.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-17,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Nov-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006107,PR-00003070,Habib Family Day Care Services Pty Ltd,Habib Family Day Care Services Pty Ltd,Family Day Care,469B Ballarat Road,SUNSHINE,VIC,3020,03 9310 2857,,marwosalat@hotmail.com,"The maximum number of family day care educators that may be engaged or registered by the approved provider is 100. The approved provider must identify and maintain an up to date record of this service’s family day care educators operating in a family day care residence or approved family day care venue in Victoria who may be at risk of bushfire (bushfire-at-risk educators); For any bushfire-at-risk educators, the approved provider must ensure that: 
a.         bushfire-at-risk educators do not operate on any day declared by the Victorian Emergency Management Commissioner to be a day of ‘Code Red’ Fire Danger Rating that would apply to the location in which that family day care residence or approve family day care venue is located; and
b.         the service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include a current Emergency Management Plan (EMP) for managing the service’s bush-fire related risks;
c.         the Emergency Management Plan (EMP) is kept up to date, reflects the family day care educator’s operating context and includes:
                       i.             procedures for monitoring and managing bushfire risks and events;
                      ii.             procedures for notifying families of any closure
d.         the Emergency Management Plan (EMP) is reviewed and updated as necessary at least once each calendar year.
",,1/01/2012,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Nov-18,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-15,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006108,PR-00002783,Youth Leadership Victoria St Anthony's GH OSHC,Youth Leadership Victoria Inc,Centre-Based Care,172 Neerim Road,GLEN HUNTLY,VIC,3163,0412 958 601,03 8790 5891,rita@ylv.com.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-12,28/01/2016,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,7:00,8:40,7:00,8:40,7:00,8:40,7:00,8:40,7:00,8:40,,,,,,,,,,,,,,,,,,,No
SE-00006109,PR-40002234,Team Holiday - Brighton,Team Holiday Pty Ltd,Centre-Based Care,120 South Road,BRIGHTON EAST,VIC,3187,1300035000,0,info@teamkids.com.au,,68,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-14,30/01/2015,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,,,,No
SE-00006111,PR-00003073,Ballan and Gordon Outside School Hours Care,Ballan Primary School Council,Centre-Based Care,Duncan Street,BALLAN,VIC,3342,498638718,,julie.ferguson@education.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-12,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,,,,,,,,,,,,,,,,,,,No
SE-00006113,PR-00002539,Camp Australia - Kerrimuir Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,178 Dorking Road,BOX HILL NORTH,VIC,3129,401279208,,opsadmin@campaustralia.com.au,,75,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-14,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,,,,,,,,,,,,,,,No
SE-00006114,PR-00002539,Camp Australia - St Paul Apostle North OSHC,Camp Australia Pty Limited,Centre-Based Care,76 Mossgiel Park Drive,ENDEAVOUR HILLS,VIC,3802,402360219,,opsadmin@campaustralia.com.au,"As this service is listed on the Department of Education & Training Bushfire At-Risk Register, the approved provider must ensure that:
a.         the service does not operate on any day the Victorian Emergency Management Commissioner declares day of a ‘Code Red’ Fire Danger Rating that applies to the location in which that service is located; and
b.         the service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan (EMP) for managing the service’s bush-fire related risks.
c.         the Emergency Management Plan (EMP) is kept up to date, reflects the service’s operating context and includes:
                       i.             a list of the service’s emergency contact details;
                      ii.             procedures for monitoring and managing bushfire risks and events;
                     iii.             procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service;
                     iv.             procedures for notifying families of children enrolled at the service of any closure;
                      v.             procedures for reviewing and updating the Emergency Management Plan (EMP).
d.         the Emergency Management Plan (EMP) is reviewed and updated as necessary at least once each calendar year.
e.         by 1 September of each year, a copy of the service’s Emergency Management Plan (EMP)
                       i.             to the Regulatory Authority through the National Quality Agenda Information Technology System (NQA ITS) public portal; and
                      ii.             where a service operates from a school premises, to the principal of the school.",45,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-15,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,,,,,,,,,,,,,,,,,,,No
SE-00006115,PR-00002539,Camp Australia - Hughesdale Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,Brine Street,HUGHESDALE,VIC,3166,423940728,,opsadmin@campaustralia.com.au,,120,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,May-13,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:10,18:15,15:10,18:15,15:10,18:15,15:10,18:15,15:10,18:15,,,,,7:00,9:10,7:00,9:10,7:00,9:10,7:00,9:10,7:00,9:10,,,,,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,No
SE-00006116,PR-00001947,Thinking Kids Children's Centre,Early Childhood Management Services Inc,Centre-Based Care,77 Poplar Road,PARKVILLE,VIC,3052,03 9388 0777,394450346,thinkingkids@ecms.org.au,,132,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jan-14,,Yes,No,No,No,No,No,No,7:30,18:30,7:30,18:30,7:30,18:30,7:30,18:30,7:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006118,PR-40005656,After The Bell Aus- Grey Street PS,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Centre-Based Care,30-44 Grey Street,TRARALGON,VIC,3844,437009155,,lana@afterthebell.com.au,,60,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-19,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Jul-15,7/12/2015,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:50,7:00,8:50,7:00,8:50,7:00,8:50,7:00,8:50,,,,,,,,,,,,,,,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No
